81; 161382.3813; 2049062.8470; 0.0788; 30.4500; 0.0200
82; 163796.9541; 2074050.6366; 0.0790; 30.4500; 0.0200
83; 166222.1097; 2099038.4262; 0.0792; 30.4500; 0.0200
84; 168657.7770; 2124026.2158; 0.0794; 30.4500; 0.0200
85; 171104.2488; 2149014.0054; 0.0796; 30.4500; 0.0200
86; 173561.4371; 2174001.7950; 0.0798; 30.4500; 0.0200
87; 176029.3557; 2198989.5846; 0.0800; 30.4500; 0.0200
88; 178508.2062; 2223977.3742; 0.0803; 30.4500; 0.0200
89; 180997.6516; 2248965.1638; 0.0805; 30.4500; 0.0200
90; 183497.9539; 2273952.9534; 0.0807; 30.4500; 0.0200
91; 186009.1311; 2298940.7430; 0.0809; 30.4500; 0.0200
92; 188530.7989; 2323928.5325; 0.0811; 30.4500; 0.0200
93; 191063.2359; 2348916.3221; 0.0813; 30.4500; 0.0200
94; 193606.5511; 2373904.1117; 0.0816; 30.4500; 0.0200
95; 196160.7906; 2398891.9013; 0.0818; 30.4500; 0.0200
96; 198725.7233; 2423879.6909; 0.0820; 30.4500; 0.0200
97; 201301.3624; 2448867.4805; 0.0822; 30.4500; 0.0200
98; 203887.5122; 2473855.2701; 0.0824; 30.4500; 0.0200
99; 206484.2421; 2498843.0597; 0.0826; 30.4500; 0.0200
100; 209091.6136; 2523830.8493; 0.0828; 30.4500; 0.0200
101; 211709.4188; 2548818.6389; 0.0831; 30.4500; 0.0200
102; 214338.0344; 2573806.4285; 0.0833; 30.4500; 0.0200
103; 216977.5510; 2598794.2181; 0.0835; 30.4500; 0.0200
104; 219627.6743; 2623782.0077; 0.0837; 30.4500; 0.0200
105; 222288.7229; 2648769.7973; 0.0839; 30.4500; 0.0200
106; 224960.7748; 2673757.5869; 0.0841; 30.4500; 0.0200
107; 227643.8075; 2698745.3764; 0.0843; 30.4500; 0.0200
108; 230337.5801; 2723733.1660; 0.0846; 30.4500; 0.0200
109; 233041.8998; 2748720.9556; 0.0848; 30.4500; 0.0200
110; 235756.9387; 2773708.7452; 0.0850; 30.4500; 0.0200
111; 238482.9977; 2798705.1889; 0.0852; 30.4400; 0.0300
112; 241219.6459; 2823693.3906; 0.0854; 30.4500; 0.0300
113; 243967.0851; 2848681.5923; 0.0856; 30.4500; 0.0300
114; 246724.9656; 2873669.7940; 0.0859; 30.4500; 0.0300
115; 249493.6898; 2898657.9957; 0.0861; 30.4500; 0.0300
116; 252273.6573; 2923644.2097; 0.0863; 30.4400; 0.0400
117; 255064.4148; 2948632.3168; 0.0865; 30.4400; 0.0400
118; 257865.9620; 2973620.4238; 0.0867; 30.4400; 0.0400
119; 260678.2295; 2998608.5309; 0.0869; 30.4400; 0.0400
120; 263501.2898; 3023596.6379; 0.0871; 30.4400; 0.0400
121; 266335.4910; 3048592.6507; 0.0874; 30.4300; 0.0500
122; 269180.2516; 3073581.1342; 0.0876; 30.4400; 0.0500
123; 272035.6419; 3098569.6177; 0.0878; 30.4400; 0.0500
124; 274901.4958; 3123558.1012; 0.0880; 30.4400; 0.0500
125; 277778.0644; 3148557.8827; 0.0882; 30.4200; 0.0700
126; 280665.2237; 3173543.2685; 0.0884; 30.4200; 0.0800
127; 283563.1192; 3198532.1169; 0.0886; 30.4200; 0.0800
128; 286471.6741; 3223520.9653; 0.0889; 30.4200; 0.0800
129; 289391.0395; 3248509.8136; 0.0891; 30.4200; 0.0800
130; 292321.2720; 3273498.6620; 0.0893; 30.4200; 0.0800
131; 295262.4640; 3298484.7552; 0.0895; 30.4100; 0.0900
132; 298214.3481; 3323472.8631; 0.0897; 30.4000; 0.1000
133; 301176.5969; 3348461.5513; 0.0899; 30.4100; 0.1000
134; 304149.7590; 3373450.2394; 0.0902; 30.4100; 0.1000
135; 307134.5598; 3398429.7166; 0.0904; 30.3900; 0.1200
